mean_r,std_r,kur_r,skew_r,mean_g,std_g,kur_g,skew_g,mean_b,std_b,kur_b,skew_b,entropy_r,entropy_g,contrast_r,contrast_g,contrast_b,corr_rg,corr_rb,corr_gb,moment_r,moment_g,moment_b,label
128.4643,32.80676646,-0.362021347,0.364100744,128.3419,29.78670852,-0.21182185,0.387262135,127.6126,27.09687291,-0.03434374,0.36577782,9.177819858,9.183559474,9.187895724,201,192,178,0.991924873,0.988040358,0.969930397,1076.283926,887.2480044,1
140.442,17.37382618,2.933557881,1.44412195,140.8421,16.94387699,2.965917083,1.455226946,140.0426,17.32858867,2.996760789,1.45740989,9.203048387,9.20343978,9.203048393,134,132,134,0.976818457,0.984978459,0.962746681,301.849836,287.0949676,0
109.2267,21.58136481,0.528685261,-0.855854313,105.1634,21.41387635,0.665502482,-0.997227695,106.6426,21.82602724,0.823291411,-1.099582847,9.189078183,9.187429425,9.18700119,138,132,130,0.981934327,0.940719055,0.883805649,465.7553071,458.5541004,0
131.8993,22.69560221,-0.167675098,-0.450226994,129.6811,20.9800096,0.167335862,-0.497385965,126.4459,18.00640089,0.932313415,-0.552371154,9.194900304,9.196678098,9.199767863,147,133,129,0.99307792,0.979655199,0.957672008,515.0903595,440.1608028,1
157.4694,20.4782632,0.780023643,0.040802292,155.9337,20.48132575,0.978810298,0.07982486,158.1609,20.27099926,1.118883371,0.099441066,9.201802566,9.201637736,9.202061158,172,182,184,0.990679371,0.993197827,0.984281092,419.3592636,419.4847043,0
151.6265,34.29785121,-0.160759321,-0.584777154,149.3373,33.06156573,-0.170090199,-0.596286052,143.5186,31.31446078,-0.097067414,-0.619625692,9.18277892,9.183986513,9.18471795,196,189,181,0.996155514,0.994649902,0.989645891,1176.342598,1093.067129,1
119.2978,19.40666162,0.870057316,0.114696942,120.1288,19.70053833,0.894429109,0.146364808,121.1099,19.19021162,0.983423532,0.166054381,9.196959932,9.196761908,9.197685023,151,158,160,0.992204957,0.992559129,0.985618411,376.6185152,388.1112106,0
118.3554,17.8491818,4.562448709,2.029628694,126.9456,14.12335798,5.856752653,2.159115596,135.9167,12.32621439,2.54524705,1.022949006,9.199877119,9.204555389,9.206327285,131,125,117,0.797309667,0.820438485,0.420380334,318.5932908,199.4692406,0
116.9237,27.80511245,0.942020615,0.738832931,118.156,27.41028391,0.991896886,0.693320047,119.4161,26.16961522,0.952214408,0.598431122,9.182791196,9.18400636,9.186666554,191,193,187,0.989900505,0.988730698,0.976296918,773.1242783,751.323664,0
126.8929,39.93830279,-1.011696168,0.062968014,126.353,38.42899675,-0.969072455,0.066142088,125.5065,35.87304779,-0.884723494,0.057838146,9.159327041,9.162793298,9.168415963,206,201,198,0.99779968,0.996690404,0.991844412,1595.06803,1476.787791,1
135.503,38.70058127,-0.852125821,-0.188351647,135.741,34.74605473,-0.641855054,-0.263525099,134.1292,30.77512806,-0.349828074,-0.393942152,9.1673306,9.17577951,9.182444669,192,185,176,0.990843399,0.987183568,0.963697571,1497.734991,1207.288319,1
